payload_manifest_id,test_run_id,provider_or_model_candidate,fixture_ids,evidence_passage_ids,resource_count,evidence_count,included_data_categories,source_identifiers_included,locator_information_included,approximate_size,approximate_size_unit,excluded_data_categories,personal_or_account_linked_information_included,justification,external_transmission_authorization_basis,redacted_sample_path,reviewer,notes
PM-GROQ-GROUNDED-001-01,TR-GEN-GROQ-GROUNDED-001,GEN-GROQ-GPT-OSS-120B-001,FX-PDF-001;FX-TXT-001;FX-DOCX-001,CH-FX-PDF-001-001;CH-FX-PDF-001-003;CH-FX-PDF-001-002;CH-FX-TXT-001-002;CH-FX-DOCX-001-001,3,5,"Synthetic query text; project-created synthetic academic passages; synthetic titles; query/fixture/source labels","Yes - query ID, fixture IDs, and bounded S-labels; chunk IDs remain only in the local manifest",No,8428,"bytes (exact serialized request body)","Boundary fixtures; accounts; sessions; uploader/personal data; credentials; database IDs; filenames; paths; locators; links; real institutional/student content; unrelated repository text",No,"Same fixed case and evidence used in the accepted local grounded comparison","Exact six-payload preview reviewed; user explicitly approved one live run on 2026-08-13 after project ZDR, model allowlist, quota, credential, and cost guards passed",.local/ai-feasibility-spike/results/external-grounded-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v1/PAYLOAD_REVIEW.md,"Project team","Query Q-INQ-001; exact transmitted payload recorded after completed audited run; registration preview only"
PM-GROQ-GROUNDED-001-02,TR-GEN-GROQ-GROUNDED-001,GEN-GROQ-GPT-OSS-120B-001,FX-PDF-003;FX-PDF-006;FX-PPTX-003,CH-FX-PDF-003-004;CH-FX-PDF-006-001;CH-FX-PDF-003-001;CH-FX-PPTX-003-007;CH-FX-PPTX-003-006,3,5,"Synthetic query text; project-created synthetic academic passages; synthetic titles; query/fixture/source labels","Yes - query ID, fixture IDs, and bounded S-labels; chunk IDs remain only in the local manifest",No,7418,"bytes (exact serialized request body)","Boundary fixtures; accounts; sessions; uploader/personal data; credentials; database IDs; filenames; paths; locators; links; real institutional/student content; unrelated repository text",No,"Same fixed case and evidence used in the accepted local grounded comparison","Exact six-payload preview reviewed; user explicitly approved one live run on 2026-08-13 after project ZDR, model allowlist, quota, credential, and cost guards passed",.local/ai-feasibility-spike/results/external-grounded-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v1/PAYLOAD_REVIEW.md,"Project team","Query Q-SEM-004; exact transmitted payload recorded after completed audited run; registration preview only"
PM-GROQ-GROUNDED-001-03,TR-GEN-GROQ-GROUNDED-001,GEN-GROQ-GPT-OSS-120B-001,FX-PPTX-003;FX-PDF-004;FX-PDF-005,CH-FX-PPTX-003-002;CH-FX-PDF-004-003;CH-FX-PDF-004-001;CH-FX-PDF-005-001;CH-FX-PPTX-003-008,3,5,"Synthetic query text; project-created synthetic academic passages; synthetic titles; query/fixture/source labels","Yes - query ID, fixture IDs, and bounded S-labels; chunk IDs remain only in the local manifest",No,7307,"bytes (exact serialized request body)","Boundary fixtures; accounts; sessions; uploader/personal data; credentials; database IDs; filenames; paths; locators; links; real institutional/student content; unrelated repository text",No,"Same fixed case and evidence used in the accepted local grounded comparison","Exact six-payload preview reviewed; user explicitly approved one live run on 2026-08-13 after project ZDR, model allowlist, quota, credential, and cost guards passed",.local/ai-feasibility-spike/results/external-grounded-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v1/PAYLOAD_REVIEW.md,"Project team","Query Q-NOEVID-001; exact transmitted payload recorded after completed audited run; registration preview only"
PM-GROQ-GROUNDED-001-04,TR-GEN-GROQ-GROUNDED-001,GEN-GROQ-GPT-OSS-120B-001,,,0,0,"Synthetic query text; project-created synthetic academic passages; synthetic titles; query/fixture/source labels","Yes - query ID, fixture IDs, and bounded S-labels; chunk IDs remain only in the local manifest",No,2752,"bytes (exact serialized request body)","Boundary fixtures; accounts; sessions; uploader/personal data; credentials; database IDs; filenames; paths; locators; links; real institutional/student content; unrelated repository text",No,"Same fixed case and evidence used in the accepted local grounded comparison","Exact six-payload preview reviewed; user explicitly approved one live run on 2026-08-13 after project ZDR, model allowlist, quota, credential, and cost guards passed",.local/ai-feasibility-spike/results/external-grounded-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v1/PAYLOAD_REVIEW.md,"Project team","Query Q-PROHIB-001; exact transmitted payload recorded after completed audited run; registration preview only"
PM-GROQ-GROUNDED-001-05,TR-GEN-GROQ-GROUNDED-001,GEN-GROQ-GPT-OSS-120B-001,FX-PPTX-001;FX-DOCX-001;FX-PDF-002,CH-FX-PPTX-001-003;CH-FX-PPTX-001-004;CH-FX-DOCX-001-003;CH-FX-PDF-002-001,3,4,"Synthetic query text; project-created synthetic academic passages; synthetic titles; query/fixture/source labels","Yes - query ID, fixture IDs, and bounded S-labels; chunk IDs remain only in the local manifest",No,5785,"bytes (exact serialized request body)","Boundary fixtures; accounts; sessions; uploader/personal data; credentials; database IDs; filenames; paths; locators; links; real institutional/student content; unrelated repository text",No,"Same fixed case and evidence used in the accepted local grounded comparison","Exact six-payload preview reviewed; user explicitly approved one live run on 2026-08-13 after project ZDR, model allowlist, quota, credential, and cost guards passed",.local/ai-feasibility-spike/results/external-grounded-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v1/PAYLOAD_REVIEW.md,"Project team","Query Q-MULTI-001; exact transmitted payload recorded after completed audited run; registration preview only"
PM-GROQ-GROUNDED-001-06,TR-GEN-GROQ-GROUNDED-001,GEN-GROQ-GPT-OSS-120B-001,FX-PDF-007;FX-PDF-005;FX-PDF-003,CH-FX-PDF-007-001;CH-FX-PDF-007-002;CH-FX-PDF-005-001;CH-FX-PDF-003-001,3,4,"Synthetic query text; project-created synthetic academic passages; synthetic titles; query/fixture/source labels","Yes - query ID, fixture IDs, and bounded S-labels; chunk IDs remain only in the local manifest",No,7726,"bytes (exact serialized request body)","Boundary fixtures; accounts; sessions; uploader/personal data; credentials; database IDs; filenames; paths; locators; links; real institutional/student content; unrelated repository text",No,"Same fixed case and evidence used in the accepted local grounded comparison","Exact six-payload preview reviewed; user explicitly approved one live run on 2026-08-13 after project ZDR, model allowlist, quota, credential, and cost guards passed",.local/ai-feasibility-spike/results/external-grounded-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v1/PAYLOAD_REVIEW.md,"Project team","Query Q-PART-005; exact transmitted payload recorded after completed audited run; registration preview only"
PM-GROQ-SUMSUG-SCHEMA-001-01,TR-GEN-GROQ-SUMSUG-SCHEMA-COMPAT-001,GEN-GROQ-GPT-OSS-120B-001,FX-PDF-001,,1,1,"Synthetic fixture identity; synthetic title; file type; complete accepted extracted synthetic text; controlled test taxonomy","Yes - synthetic fixture ID and source-version ID","Only locator-like text already present inside the synthetic document; no separate locator field",8363,"bytes (exact serialized request body)","Accounts; sessions; roles; uploader/moderator data; database IDs; protected filenames; server/local paths; real institutional/student content; boundary fixtures; unrelated resources; prior outputs; human answer key; credentials; course/program; year level",No,"Required bounded feasibility measurement of non-authoritative summaries and controlled tag/metadata suggestions using one accepted project-created synthetic resource.","Exact v1 eight-request preview reviewed; user approved one live run on 2026-08-14 after ZDR, model allowlist, project limits, key, payload, and cost guards were confirmed.",.local/ai-feasibility-spike/results/summary-suggestion-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v1/PAYLOAD_REVIEW.md,"Project team","Only this first approved v1 payload was transmitted. The provider rejected unsupported uniqueItems before model generation; seven remaining v1 payloads were not sent."
PM-GROQ-SUMSUG-001-01,TR-GEN-GROQ-SUMSUG-001,GEN-GROQ-GPT-OSS-120B-001,FX-PDF-001,,1,1,"Synthetic fixture identity; synthetic title; file type; complete accepted extracted synthetic text; controlled test taxonomy","Yes - synthetic fixture ID and source-version ID","Only locator-like text already present inside the synthetic document; no separate locator field",8306,"bytes (exact serialized request body)","Accounts; sessions; roles; uploader/moderator data; database IDs; protected filenames; server/local paths; real institutional/student content; boundary fixtures; unrelated resources; prior outputs; human answer key; credentials; course/program; year level",No,"Required bounded feasibility measurement of non-authoritative summaries and controlled tag/metadata suggestions using one accepted project-created synthetic resource.","Versioned v2 compatibility payloads reviewed; user approved one corrected live run on 2026-08-14 after the exact schema-only delta and retained runner-side uniqueness guards were audited.",.local/ai-feasibility-spike/results/summary-suggestion-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v2/PAYLOAD_REVIEW.md,"Project team","Exact transmitted v2 payload. The only request-body change from v1 was removal of unsupported uniqueItems schema keywords; content, settings, boundaries, and runner-side uniqueness validation were retained."
PM-GROQ-SUMSUG-001-02,TR-GEN-GROQ-SUMSUG-001,GEN-GROQ-GPT-OSS-120B-001,FX-PDF-005,,1,1,"Synthetic fixture identity; synthetic title; file type; complete accepted extracted synthetic text; controlled test taxonomy","Yes - synthetic fixture ID and source-version ID","Only locator-like text already present inside the synthetic document; no separate locator field",7382,"bytes (exact serialized request body)","Accounts; sessions; roles; uploader/moderator data; database IDs; protected filenames; server/local paths; real institutional/student content; boundary fixtures; unrelated resources; prior outputs; human answer key; credentials; course/program; year level",No,"Required bounded feasibility measurement of non-authoritative summaries and controlled tag/metadata suggestions using one accepted project-created synthetic resource.","Versioned v2 compatibility payloads reviewed; user approved one corrected live run on 2026-08-14 after the exact schema-only delta and retained runner-side uniqueness guards were audited.",.local/ai-feasibility-spike/results/summary-suggestion-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v2/PAYLOAD_REVIEW.md,"Project team","Exact transmitted v2 payload. The only request-body change from v1 was removal of unsupported uniqueItems schema keywords; content, settings, boundaries, and runner-side uniqueness validation were retained."
PM-GROQ-SUMSUG-001-03,TR-GEN-GROQ-SUMSUG-001,GEN-GROQ-GPT-OSS-120B-001,FX-DOCX-002,,1,1,"Synthetic fixture identity; synthetic title; file type; complete accepted extracted synthetic text; controlled test taxonomy","Yes - synthetic fixture ID and source-version ID","Only locator-like text already present inside the synthetic document; no separate locator field",7556,"bytes (exact serialized request body)","Accounts; sessions; roles; uploader/moderator data; database IDs; protected filenames; server/local paths; real institutional/student content; boundary fixtures; unrelated resources; prior outputs; human answer key; credentials; course/program; year level",No,"Required bounded feasibility measurement of non-authoritative summaries and controlled tag/metadata suggestions using one accepted project-created synthetic resource.","Versioned v2 compatibility payloads reviewed; user approved one corrected live run on 2026-08-14 after the exact schema-only delta and retained runner-side uniqueness guards were audited.",.local/ai-feasibility-spike/results/summary-suggestion-preview/GEN-GROQ-GPT-OSS-120B-001/payload-review-v2/PAYLOAD_REVIEW.md,"Project team","Exact transmitted v2 payload. The only request-body change from v1 was removal of unsupported uniqueItems schema keywords; content, settings, boundaries, and runner-side uniqueness validation were retained."
