"candidate_configuration_id","capability","candidate_name","candidate_type","provider_or_runtime","version","model_or_library","configuration_summary","reason_for_inclusion","license_or_terms_reference","hardware_requirements","setup_complexity","php_integration_notes","external_dependency","non_secret_settings","decision_status","reviewer","notes"
"EX-LOCAL-PHP-001","text extraction","Local PHP Multi-Format Extraction Candidate 001","local native parser and Composer library combination","PHP 8.2.12 CLI through XAMPP on Windows","PHP 8.2.12; Composer 2.10.2; smalot/pdfparser v2.12.5","Native PHP file I/O; ZipArchive and DOM/XML parsing; smalot/pdfparser v2.12.5","TXT uses native PHP reading; DOCX and PPTX use local ZIP/XML parsing; PDF uses smalot/pdfparser. All extraction runs locally with no AI provider call.","Small, PHP-oriented first candidate that matches the preferred stack and can be tested without a second runtime or external service.","PHP License for PHP runtime; LGPL-3.0-only for smalot/pdfparser; dependency licenses remain subject to installed package metadata.","Current feasibility baseline laptop; CPU and RAM only; no GPU required.","Low to moderate","Direct CLI integration is simple. Browser integration would require Apache to use the same enabled ZIP extension and must retain protected-file access checks.","Composer package download is required during setup; no external runtime service or fixture transmission is required.","PHP path=C:\xampp\php\php.exe; memory_limit=512M; ZipArchive=enabled; candidate workspace=.local\ai-feasibility-spike\candidates\EX-LOCAL-PHP-001","Accepted for extraction spike; integrated architecture decision pending","Project team","Registration records the measured setup only. It does not select a final extraction architecture or approve the candidate for implementation. Smoke test passed 9/9 across four readable formats and five boundary/negative fixtures. Full-corpus extraction quality review remains pending. Full readable-corpus run passed 25/25 with zero warnings. Manual extraction-fidelity and locator-quality review remains pending before any architecture decision. Targeted fidelity review covered 137 accepted evidence passages: 119 exact normalized full-text and block matches; all 18 non-exact rows retained complete ordered token coverage; 0 required content-fidelity escalation. Current locator granularity remains page-level for PDF, slide-level for PPTX, structural/paragraph-level for DOCX, and line-range-level for TXT."
"SEG-BLOCK-AWARE-001","chunking and segmentation","Block-Aware Chunking Configuration 001","local deterministic segmentation configuration","PHP 8.2.12 CLI through XAMPP on Windows","Spike configuration 001","Native PHP block-aware deterministic segmentation","Target 900 characters; maximum 1200 characters; 120-character overlap only when a single extracted block must be split. PDF pages and PPTX slides remain separate. Adjacent DOCX and TXT blocks may be grouped while retaining locator ranges and source-block references.","Simplest stack-aligned first segmentation candidate that preserves source, source-version, order, and reliable locator traceability without a second runtime or permanent schema decision.","PHP License for the runtime; project-authored deterministic spike script.","Current feasibility baseline laptop; CPU and RAM only; no GPU required.","Low","Direct native-PHP implementation. Chunk metadata remains traceable to source version and locator. Testing does not authorize permanent chunk storage or a production chunk table.","No external service. Depends only on the accepted local extraction output and PHP runtime.","target_chars=900; max_chars=1200; long_block_overlap_chars=120; preserve_pdf_page_boundary=yes; preserve_pptx_slide_boundary=yes; group_adjacent_docx_txt_blocks=yes","Accepted for chunking spike; semantic retrieval evaluation pending","Project team","Reviewed result: 25 resources, 101 chunks, 0 missing locators, 0 chunks above 1200 characters. Of 137 accepted evidence passages, 119 were exact within one chunk, 16 were high-coverage non-exact, and the remaining 2 were fully preserved in order across multiple chunks. One 103-character PPTX title-slide chunk was retained as a documented observation; retrieval testing must determine whether it creates noise before any filtering or merge rule is added."
"EMB-OLLAMA-ALL-MINILM-001","local embeddings","Ollama all-minilm Embedding Candidate 001","local embedding runtime and model","Ollama local API on Windows","Ollama 0.32.0 preflight; Ollama 0.32.1 failed attempt, diagnostics, accepted 102-chunk full-corpus run, cosine validation, and standalone retrieval","all-minilm:latest; digest 1b226e2802dbb772b5fc32a58f103ca1804ef7501331012de126ab22f67475ef","Local embedding requests use the Ollama API at localhost. The measured model returns normalized 384-dimensional vectors. The preflight used truncate=false and keep_alive=5m.","Small local first candidate aligned with the bounded, near-zero-cost feasibility direction. Preflight success justifies full-corpus embedding and retrieval evaluation without selecting the final architecture.","Ollama GitHub license and the Apache License 2.0 layer published for the Ollama all-minilm model tag; installed-artifact terms must be rechecked before implementation.","Tested on the current feasibility baseline laptop with approximately 12.75 GB visible memory. Full-corpus embedding and bounded PHP retrieval completed on CPU/RAM; GPU path and VRAM use were not inferred by the harness.","Low to moderate","PHP can call the local HTTP API directly. The preflight does not approve production integration, vector storage, or PHP-side retrieval architecture.","Requires the local Ollama application/service and the installed model. Initial model download requires network access; embedding requests in this preflight remained local.","api_base=http://localhost:11434; model=all-minilm:latest; truncate=false; keep_alive=5m; embedding_dimension=384","Complete 102/102 full-corpus embedding and bounded retrieval evaluation completed; technically feasible under tested conditions; final candidate decision pending","Project team","Recovered preflight executed successfully with four non-corpus inputs, valid normalized vectors, and correct basic semantic ordering. This registration does not select Ollama, all-minilm, MariaDB embedding storage, PHP cosine retrieval, or any final AI architecture. Full-corpus attempt TR-EMB-FULL-001 used Ollama 0.32.1 with the same all-minilm model digest and settings. The run failed safely after 43 of 101 vectors when CH-FX-DOCX-006-001 was rejected for exceeding the effective input context length. The candidate remained unresolved after the failed full-corpus attempt and required a separate context-fit diagnostic; it was neither selected nor finally rejected at that checkpoint. Context-fit diagnostic TR-EMB-CONTEXT-001 completed all 101 accepted chunks: 100 were compatible and one was rejected. The raw diagnostic recorded HTTP 400 for CH-FX-DOCX-006-001; registered TR-EMB-FULL-001 evidence corroborates the cause as input context length exceeded. Three accepted chunks had at least 1179 characters and 18 accepted chunks had at least 162 words, so character count or word count alone does not define a reliable safe boundary. A separate model-aware, versioned segmentation correction must be reviewed before a new full-corpus run. The candidate remains unresolved and retrieval is not authorized. Targeted segmentation probe TR-SEG-CONTEXT-001 tested the reviewed replacements for CH-FX-DOCX-006-001. Both child inputs returned HTTP 200 with valid 384-dimensional finite vectors under truncate=false; vectors were discarded. This narrows the remaining work to deterministic corrected-corpus generation and a fresh complete embedding run. Corrected corpus run run-20260727-163706Z then completed 102/102 embeddings with zero failures, omissions, malformed vectors, non-finite values, or dimension mismatches. SIM-PHP-COSINE-001 passed independent numerical correctness and bounded vector-only timing. RET-SEMANTIC-STANDALONE-001 completed 55/55 query executions; original and versioned ground-truth results are registered separately. These results establish bounded feasibility under tested conditions only and do not select the final model, retrieval method, storage design, schema, or application integration."
"SEG-BLOCK-AWARE-CONTEXT-FIT-002","chunking and segmentation","Block-Aware Context-Fit Chunking Configuration 002","local deterministic segmentation configuration","PHP 8.2.12 CLI through XAMPP on Windows","Derived from SEG-BLOCK-AWARE-001; corrected artifact run-20260727-162201Z; accepted embedding and retrieval evidence through run-20260730-143830Z","Native PHP block-aware deterministic segmentation","Inherits SEG-BLOCK-AWARE-001. When an otherwise accepted grouped DOCX or TXT chunk is rejected for model context length, apply a separately reviewed semantic split at a heading or paragraph boundary while preserving source order, locators, and unaffected chunks. The targeted FX-DOCX-006 correction splits after source block 6 so each heading remains attached to its explanatory content.","Targeted, minimally disruptive correction for the single corroborated embedding context-length rejection. It preserves the accepted base segmentation behavior and overlap while splitting only the incompatible semantic unit at reviewed heading or paragraph boundaries.","PHP License for the runtime; project-authored deterministic spike script.","Current feasibility baseline laptop; CPU and RAM only; no GPU required.","Low","Direct native-PHP implementation. Chunk metadata remains traceable to source version and locator. Testing does not authorize permanent chunk storage or a production chunk table.","No external service. Depends only on the accepted local extraction output and PHP runtime.","base_segmentation=SEG-BLOCK-AWARE-001; target_chars=900; max_chars=1200; long_block_overlap_chars=120; preserve_pdf_page_boundary=yes; preserve_pptx_slide_boundary=yes; group_adjacent_docx_txt_blocks=yes; targeted_context_fit_fallback=semantic_heading_or_paragraph_split; preserve_unaffected_chunks=yes; overlap_changed=no; probe_embedding_candidate=EMB-OLLAMA-ALL-MINILM-001; truncate=false","Corrected 102-chunk corpus completed and used by accepted embedding and retrieval checkpoints; final segmentation and storage decisions pending","Project team","Experimental segmentation candidate derived from SEG-BLOCK-AWARE-001 after CH-FX-DOCX-006-001 was rejected for model context length. The reviewed semantic correction creates TARGET-CHILD-A for source blocks 1 through 6, Paragraphs 1 through 7, and TARGET-CHILD-B for source blocks 7 through 8, Paragraphs 8 through 9. Run TR-SEG-CONTEXT-001 tested both children independently using Ollama 0.32.1, all-minilm:latest digest 1b226e2802dbb772b5fc32a58f103ca1804ef7501331012de126ab22f67475ef, and truncate=false. Both returned HTTP 200 with one valid 384-dimensional finite vector; vectors were discarded. The candidate is not full-corpus ready, retrieval is not authorized, and no final segmentation, storage, retrieval, database, or application architecture is selected. Deterministic corrected artifact run-20260727-162201Z produced 102 traceable chunks, preserving 100 non-parent chunks and applying only the reviewed two-child split. The artifact supported a complete 102/102 embedding run and the accepted standalone retrieval evaluation. This does not select final segmentation, permanent chunk storage, or application architecture."
"SIM-PHP-COSINE-001","similarity computation","Native PHP Cosine Similarity Candidate 001","bounded application-side similarity method","PHP 8.2.12 CLI through XAMPP on Windows","PHP 8.2.12; checkpoint run-20260728-134717Z","Project-authored native PHP cosine implementation; 384-dimensional vectors from EMB-OLLAMA-ALL-MINILM-001","Loads 102 normalized vectors in PHP, calculates cosine similarity, ranks results, and selects top-k=5 without a vector database or external scoring service.","Directly tests the D042 bounded application-side retrieval direction using the preferred native PHP stack and representative corpus.","PHP License for the runtime; project-authored spike implementation.","Current feasibility baseline laptop; CPU and RAM only for the measured PHP harness.","Low","Native PHP implementation is straightforward at the tested 102-vector scale. Production integration, caching, concurrency, and persistence remain undecided.","Requires valid precomputed embedding vectors but no network or external service during similarity scoring.","vector_count=102; dimension=384; top_k=5; native_php_cosine=yes","Numerical correctness and bounded vector-only timing passed; final similarity method and storage decision pending","Project team","Checkpoint run-20260728-134717Z independently verified all 10,404 ordered vector pairs, 102 self-similarity checks, 5,151 symmetry checks, five controlled cases, and five invalid-input rejections. Median vector-only time was 35.466250 ms and p90 was 65.072930 ms. Query embedding, filtering, relevance, production concurrency, permanent storage, and final method selection were outside this isolated checkpoint."
"RET-SEMANTIC-STANDALONE-001","bounded semantic retrieval","Standalone Local Semantic Retrieval Candidate 001","combined local embedding and application-side retrieval configuration","Ollama 0.32.1 local API plus PHP 8.2.12 on Windows","Scored run-20260728-151543Z; manual review completed; audited ground-truth v2 evaluation run-20260730-143830Z","all-minilm:latest digest 1b226e2802dbb772b5fc32a58f103ca1804ef7501331012de126ab22f67475ef; SIM-PHP-COSINE-001; SEG-BLOCK-AWARE-CONTEXT-FIT-002","Uses 102 corrected chunks and vectors, one fresh local query embedding per executed query, PHP cosine ranking, top-five passage and resource results, title-based metadata fallback, and explicit file-type filtering. No no-result threshold was selected.","Measures whether the simplest local, low-cost, beginner-maintainable retrieval direction is useful and fast enough for the bounded local/LAN capstone corpus.","Ollama runtime terms and the Apache License 2.0 layer published for the all-minilm model tag must be rechecked before implementation; PHP method is project-authored.","Current feasibility baseline laptop. The 55-query run completed locally with 102 candidate vectors; production concurrency and campus-scale behavior were not tested.","Moderate","PHP can call the local Ollama API and perform bounded ranking directly. Eligibility, freshness, lifecycle revalidation, secure storage, and graceful fallback still require later application design and testing.","Requires local Ollama service and installed all-minilm model for new embeddings; no external corpus transmission occurred.","chunks=102; dimension=384; top_k_passages=5; top_k_resources=5; truncate=false; retries=0; metadata_fallback=title_tokens; explicit_filter=file_type","Bounded retrieval is technically feasible and promising under tested conditions; automatic predeclared-misleading criterion remains not met; final candidate and integration decisions pending","Project team","Original scored run completed 55/55 queries with 100% resource top-five, 92% passage top-five, 106.099 ms median positive isolated latency, 100% metadata fallback, and 100% explicit-filter correctness. The automatic predeclared-misleading rate was 25% against a 20% maximum and original semantic value was 33.33%. Manual review completed 10/10 targeted cases and confirmed no reviewed result set as genuinely misleading. Versioned ground-truth evaluation changed only Q-SEM-002 and Q-SEM-005, retained unchanged rankings, and produced 96% passage top-five and 100% semantic value. No no-result threshold, final candidate, permanent storage, schema, or integration was selected."
"GEN-OLLAMA-QWEN3-4B-001","optional local generation","Ollama Qwen3 4B Local Generation Candidate 001","local generation runtime and model","Ollama local API on Windows","Ollama 0.32.1; synthetic run run-20260801-154837Z","qwen3:4b; digest 359d7dd4bcdab3d86b87d73ac27966f4dbb9f5efdfcc75d34a8764a09474fae7; GGUF; Q4_K_M; 4.0B","Five fixed synthetic evidence-only cases plus one cold probe; num_ctx=4096; temperature=0; seed=42; think=false; num_predict=256; zero automatic retries.","First small local generation candidate tested on the current baseline laptop using the same bounded cases later used for the Llama comparison.","Installed model reports Apache License 2.0. Ollama runtime terms and upstream model metadata must be rechecked before implementation.","Current feasibility baseline laptop with 12,746,727,424 visible memory bytes and 2 GB dedicated VRAM. The measured model load was 3.8 GB with 83% CPU and 17% GPU offload.","Low to moderate","PHP can call the local Ollama HTTP API. This failed quality preflight does not authorize application integration.","Requires the local Ollama service and installed qwen3:4b model. The synthetic prompts remained local and contained no BPC resource or registered query.","api_base=http://127.0.0.1:11434; model=qwen3:4b; num_ctx=4096; temperature=0; seed=42; think=false; num_predict=256; retries=0","Synthetic preflight completed but failed quality and interactive-use criteria; grounded testing is not justified for this configuration; final generation decision pending","Project team","All five requests completed, but automated checks passed 0/5. Median case latency was 72.391 seconds, 0/5 cases completed within 60 seconds, all five hit the 256-token limit, and all five exposed internal reasoning in the visible output. The cold probe also failed its exact-output instruction. The valid negative result remains preserved and does not reject other runtimes or model configurations."
"GEN-OLLAMA-LLAMA32-3B-001","optional local generation","Ollama Llama 3.2 3B Local Generation Candidate 001","local generation runtime and model","Ollama local API on Windows","Ollama 0.32.1; synthetic run run-20260801-170850Z; grounded runs run-20260802-035633Z and run-20260802-040246Z","llama3.2:3b; digest a80c4f17acd55265feec403c7aef86be0c25983ab279d83f3bcd3abbcb5b8b72; GGUF; Q4_K_M; 3.2B","Synthetic preflight used five fixed non-project cases with num_ctx=4096, temperature=0, seed=42, think=false, num_predict=256, and zero retries. Grounded comparison used six fixed registered cases, saved retrieval evidence, JSON atomic supported_points with per-point source_labels, num_predict=400, and zero retries.","Smaller local candidate chosen after the Qwen quality and latency failure so the model could be compared without changing the runtime, prompts, context, temperature, or retry policy.","Installed model reports the Llama 3.2 Community License Agreement and Acceptable Use Policy. Redistribution, attribution, use-policy, and installed-artifact terms must be reviewed before implementation.","Current feasibility baseline laptop with 12,746,727,424 visible memory bytes and 2 GB dedicated VRAM. The measured model load was 3.1 GB with 78% CPU and 22% GPU offload.","Low to moderate","PHP can call the local Ollama HTTP API. The grounded comparison completed without request failure but did not meet the accepted answer-quality criteria, so application integration remains unauthorized.","Requires the local Ollama service and installed llama3.2:3b model. The synthetic prompts remained local and contained no BPC resource or registered query.","api_base=http://127.0.0.1:11434; model=llama3.2:3b; num_ctx=4096; temperature=0; seed=42; think=false; num_predict=256; retries=0","Grounded comparison completed; timing falls in the limited-fallback band, but accepted answer-quality criteria failed; not interactive-viable, not accepted as a reliable fallback, and not selected","Project team","Directional six-case comparison only (n=6). All 6/6 requests completed without execution failure. Automated checks passed 1/6; manual review found 2/6 useful as-is and 1/6 useful after a light edit, for 3/6 (50%) against the accepted 80% usefulness criterion. The pooled conventional median was 41.6 seconds and 6/6 completed within 60 seconds. Timing alone fits the limited-fallback band, but quality failure prevents fallback acceptance. No retrieval rerun, threshold change, external transmission, final selection, schema change, or integration authorization occurred."
"GEN-OLLAMA-QWEN35-4B-002","optional local generation","Ollama Qwen3.5 4B Local Grounded Generation Candidate 002","local generation runtime and model","Ollama local API on Windows","Ollama 0.32.1; guarded preflight run run-20260802-053053Z; grounded runs run-20260802-053419Z and run-20260802-053900Z","qwen3.5:4b; digest 2a654d98e6fba55d452b7043684e9b57a947e393bbffa62485a7aac05ee4eefd; GGUF; Q4_K_M; 4.7B","Guarded synthetic probe followed by the same six fixed grounded cases used for Llama. Grounded settings: num_ctx=4096; num_predict=400; temperature=0; seed=42; think=false; format=json; keep_alive=5m; zero automatic retries; atomic supported_points with per-point source_labels.","Newer small local candidate tested as a controlled comparison after Llama completed bounded grounded evaluation, without changing saved retrieval rankings, evidence selection, thresholds, or accepted query ground truth.","Installed-artifact, upstream model, redistribution, attribution, and Ollama runtime terms must be rechecked before any implementation decision.","Current feasibility baseline laptop with approximately 12 GB system RAM and 2 GB dedicated VRAM. Installed model size was 3,389,983,735 bytes; the guarded probe left 3.204 GB available RAM and did not materially increase page-file use.","Low to moderate","PHP can call the local Ollama HTTP API. The grounded comparison showed quality improvements over Llama on several cases but failed accepted latency and critical behavior requirements; application integration remains unauthorized.","Requires the local Ollama service and installed qwen3.5:4b model. Grounded evidence stayed on the local machine; no external provider received BPC content.","api_base=http://127.0.0.1:11434; model=qwen3.5:4b; num_ctx=4096; num_predict=400; temperature=0; seed=42; think=false; format=json; keep_alive=5m; retries=0","Guarded preflight and grounded comparison completed; timing falls in the limited-fallback band, but accepted quality and prohibited-request behavior criteria failed; not interactive-viable, not accepted as a reliable fallback, and not selected","Project team","Directional six-case comparison only (n=6). All 6/6 requests completed without execution failure. Automated checks passed 3/6 and manual review found 3/6 useful as-is, for 3/6 (50%) against the accepted 80% usefulness criterion. The pooled conventional median was 66.0 seconds and only 2/6 completed within 60 seconds. Timing alone fits the limited-fallback band, but quality failure prevents fallback acceptance. The response contract already supported a refused outcome; Qwen instead returned insufficient_evidence with no visible message for the prohibited case, so this remains a model-behavior failure and no rerun is justified. No final candidate, integration, schema, commit, or push decision is made."
"CTRL-GROUNDED-MODEL-INDEPENDENT-001","model-independent grounded-response control layer","Model-Independent Grounded Response Control Layer 001","deterministic policy, evidence-validation, lifecycle, and fallback control configuration","Native PHP-compatible application logic tested with fixed synthetic stub responses","Control-layer v1; run-20260802-082631Z","No real model, provider, or external library used by this checkpoint","Twenty-one fixed synthetic cases cover pre-generation policy and access gates, evidence eligibility, strict response schema and source-label validation, second revalidation before return, stale cache and replacement exclusion, safe fallback, authority-field rejection, and minimal safe logs.","Tests whether required grounding and safety rules can be enforced independently of whichever local or external generation model is later selected.","Project-authored checkpoint logic; no external model or provider terms evaluated by this run.","Negligible beyond native PHP and local file access; no AI model runtime was invoked.","Low to moderate","The tested rules are suitable for a PHP application service boundary, but classification quality, live database integration, session follow-up, end-user source presentation, and complete fallback still require separate tests.","None for the tested deterministic controls. A future integrated path will still depend on the selected retrieval and generation backends.","fixed_cases=21; real_model_requests=0; registered_queries=0; bpc_resource_records=0; fail_closed=true; second_revalidation=true; metadata_fallback=true","Control-layer enforcement checkpoint passed under fixed synthetic cases; application integration and final model/architecture selection remain pending","Project team","All 21/21 cases passed with zero mandatory guardrail occurrences. The run proves the tested enforcement logic only; it does not prove perfect prohibited-query detection, session follow-up behavior, complete application fallback, or final architecture suitability."
